RegionID,SizeRank,RegionName,RegionType,StateName,State,Metro,CountyName,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31,2024-01-31,2024-02-29,2024-03-31
6181,0,New York,city,NY,NY,"New York-Newark-Jersey City, NY-NJ-PA",Queens County,2573.8797081242947,2589.306003728092,2608.840073087358,2635.1143631606888,2657.353958395024,2680.4760234059618,2693.377072105108,2704.227266470006,2709.1639450488015,2706.8943469197593,2694.008149630865,2677.8430667350376,2669.97648692909,2671.8061845344464,2681.3117400315205,2695.9420017830425,2713.7373238359332,2732.8020538887354,2746.7997057059615,2752.985843735563,2750.9231933667697,2740.4139011390216,2724.7218729929746,2700.7123791916047,2695.433703295638,2695.6050013350527,2712.8441089379207,2725.854965853062,2747.9506792533657,2768.0840177604746,2781.0952568052708,2785.4673483708275,2777.010053454662,2756.9072703716606,2731.8226642469344,2713.0895882369564,2710.389743404313,2719.253519823189,2737.0998763949838,2759.840809672441,2783.0011625378056,2804.681152984961,2820.4894946782433,2830.613941988574,2831.5507664970733,2819.1607454657187,2801.327669327993,2785.8852633961183,2781.809619621462,2791.076870465318,2808.117439457011,2831.985547323126,2858.457459493052,2885.231361044838,2905.107786553985,2917.7033237240294,2919.659067193726,2914.2751605291887,2896.02754663333,2883.8159951882217,2881.0282203099628,2900.247373050474,2914.4077908731506,2903.8298421810064,2874.366504087845,2834.2762156781514,2794.609564188291,,,2591.072199338137,2544.086634308655,2518.483398286451,2507.8779759942686,2521.166309785485,2549.6823893914466,2592.177005435061,2650.256943120951,2723.5631132059502,2806.7591013294573,2883.1980900488497,2946.9060409003278,2982.2961518688667,3009.8312188598493,3026.538990939545,3056.1922570512356,3092.883217578828,3138.878473235546,3189.0526170633116,3250.436056943227,3316.027257690277,3370.730174156721,3402.8030834554397,3406.259214554279,3385.065722577174,3341.442057385891,3309.348746393372,3301.855112693064,3314.892799951572,3337.5686927104193,3371.4389762573846,3416.2832820424264,3460.697523418939,3492.1088608071177,3502.622625037696,3499.5224064693643,3475.886121397295,3438.5552422456362,3407.9105965259214,3402.3150839188825,3423.7259877126235,3461.971276430267
12447,1,Los Angeles,city,CA,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,1849.05945346416,1865.0042058922368,1880.437399169246,1893.560996539895,1915.3902590312814,1925.4320685269015,1939.7119035744497,1949.4934701072984,1967.0896012932903,1978.9881233929857,1983.079980939572,1988.6452813983524,2000.6616909714642,2020.3249083747435,2037.7996741070651,2046.1876669401368,2062.858433917497,2079.765460927648,2090.5758208800653,2088.196745160036,2082.6426839523415,2083.8692936641223,2082.577404052292,2082.550928714609,2105.328428509108,2126.477405828847,2160.4995520212165,2169.704333517095,2186.043973252746,2194.9340844783655,2207.427929256386,2217.1364071164253,2218.401903242905,2222.5049584904973,2226.3696505739103,2235.8029989755587,2245.1420982890045,2259.69462031983,2267.591458513024,2278.134378776076,2284.959472068003,2301.117875936901,2314.293451212131,2328.5545756516426,2336.1171998019827,2337.8860532674616,2338.645335058325,2342.2652279892886,2348.871396632287,2351.928026101522,2364.0547848443625,2375.0943088636386,2388.757213424724,2400.6655365513448,2411.8247794640142,2420.049758198589,2421.733410426488,2420.5040827191506,2418.341043461012,2419.880122518147,2423.1602648190656,2428.9650201556287,2426.6185074483183,2415.0116950590477,2400.161442706575,2390.229454200488,2386.685836967799,2381.62359475966,2370.510202179263,2360.1668851048958,2353.9813677146267,2349.247676623183,2348.6458959184024,2346.6732061913044,2354.5383574394823,2363.4805563109853,2384.5255863095877,2415.6047675774685,2457.9724928538803,2506.8182987274135,2543.3789822071453,2568.4184514682424,2583.189875395626,2602.2799404219654,2623.2943581652426,2643.6078449819524,2663.1651631007617,2686.934725826215,2715.826577809693,2739.6301516494846,2762.9978284211375,2778.371742273944,2790.389403073602,2784.3602070075667,2776.6209700339305,2767.7809846813566,2764.7539024599396,2770.411147123837,2782.4374721935988,2795.530620758944,2798.4890776825378,2801.052685636302,2805.469172008164,2813.3063517002947,2813.5818238105066,2806.599738020926,2791.4426839266357,2777.691936329241,2781.813008477611,2785.9442064665604,2803.4895267035868
39051,2,Houston,city,TX,TX,"Houston-The Woodlands-Sugar Land, TX",Harris County,1201.964988993076,1205.385157673071,1211.6268955141247,1222.882961333108,1233.4400094799491,1243.3072626583814,1243.8428839606993,1244.2253638696334,1238.10372394694,1234.707544233429,1232.5649926606086,1232.4609281321193,1233.2035347098233,1233.363302234302,1239.2081394032357,1245.690490013383,1250.1206235002915,1250.4272033836035,1248.2715589760614,1243.5900661642966,1235.2774656727995,1222.3135782948261,1210.9363499704996,1204.6432628106334,1215.5799011418314,1230.5831231063241,1246.2037833696988,1248.8451851325915,1256.522946826715,1256.8955007901006,1257.1571466457735,1251.075665351558,1257.9500034706218,1266.7847701674887,1280.3814620907206,1291.7134407717965,1294.3314499621897,1300.6451254239043,1297.8189267551368,1306.7125089787714,1307.8171312360582,1313.8633747978345,1312.8568192649482,1310.5758442651763,1305.9205303201873,1304.5821813643336,1307.339351812497,1308.1849157607192,1310.120166749269,1307.2521486749401,1312.0478068665077,1316.73320540418,1326.1900318493242,1333.7339548737339,1337.0621652272105,1337.312246686744,1333.0579674481148,1332.317752643493,1331.0964557105094,1335.6544199697892,1337.97369250754,1344.8159293212427,1350.2631193378368,1346.3712039746795,1338.785173754176,1329.1107058470022,1331.83380512022,1334.1720635736701,1333.5464341160182,1334.17756112825,1335.845360566726,1334.5186453470828,1332.950538489484,1327.8041755473866,1334.4002632362738,1346.5912302241811,1369.6931462206517,1397.7064207082192,1423.6020025044093,1445.2563764456413,1457.7850740897557,1464.9312406022443,1468.9364630814046,1470.078921598734,1476.8065046888191,1484.8214682673272,1495.6958649785001,1506.2382083667399,1518.959221305563,1533.399450494892,1542.9748774207396,1548.3081991748456,1546.879111370665,1543.3685764773713,1539.6008754349243,1537.052426694775,1540.3385014091434,1547.4011194673126,1556.3775794218518,1562.2178919226494,1570.916835751705,1580.146729363258,1588.3206834253406,1587.6178714348716,1585.2874049187328,1581.733297738852,1580.430164785038,1580.7664926285408,1580.9216120767892,1582.5949522845285,1583.2667866710306
17426,3,Chicago,city,IL,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,1550.0723796198874,1559.7484458525753,1571.30190296865,1582.5902145613366,1597.246743407391,1609.0735626408664,1615.6409200310686,1617.8126494434557,1610.910865437585,1601.2487212948452,1591.078593856746,1590.161571847053,1602.4533748318943,1615.3887233771627,1630.1440473454506,1638.1647236253432,1649.382122320448,1662.0558741885409,1671.0105540665843,1675.4718022541165,1665.4746194159638,1645.7908031509296,1622.7992048101694,1609.3234129125478,1622.3021404683052,1645.3087894779524,1672.155079610058,1684.8777194589507,1697.2755621399692,1703.6425862682554,1705.6496456096404,1698.5280165372244,1688.3159943922374,1674.0886969712528,1663.7238717743655,1662.0808963296788,1671.186259806947,1686.4716166976823,1700.1017873480305,1713.7297126396813,1725.4786401447752,1736.6062449789222,1740.5664981492594,1735.7429959849276,1720.657109909325,1705.1462983536514,1695.698732334154,1697.7356364894285,1710.2167521337342,1724.108857868374,1742.1358031522095,1756.5866200098105,1769.8551802004554,1778.538252591108,1783.20965724098,1785.589736613082,1778.8353257422839,1768.6334808976062,1756.8732220197642,1751.7648024050363,1761.9947740506657,1777.451122776509,1793.68569295721,1794.0065092993314,1790.8335072482382,1785.7667847072119,1781.939619153328,1769.2008132222495,1744.6911597485782,1710.9857862452232,1683.8325497434425,1669.7936936201022,1668.6356447586218,1680.3912698959714,1705.2042228855323,1739.9254379239842,1773.7372394501651,1800.6657469932995,1818.93273588097,1829.9497812529821,1830.5669187105484,1828.3134973277638,1823.7419770169513,1832.040713345357,1849.3203793987102,1873.8052805437603,1899.7174140682232,1924.7446606808974,1951.4392143673144,1971.549908731952,1989.4531832490072,1995.0199442078724,1994.5834992689042,1988.6610408590725,1981.4676536712113,1980.0803596399462,1989.4729823198172,2005.251051278763,2025.116474468167,2043.2590605862654,2069.8502168665527,2093.65383723771,2106.8314987027393,2110.652981894745,2099.884179659845,2083.8175141651586,2068.0716351517713,2070.6896035933587,2085.2734306208613,2107.8450654628678,2126.4002643656754
6915,4,San Antonio,city,TX,TX,"San Antonio-New Braunfels, TX",Bexar County,982.1706286142357,986.5258010465075,993.3453900279696,1002.0832162261172,1010.9263636835283,1018.2793801990093,1019.2243079671293,1017.7575577347111,1017.7480065685254,1022.2474442267583,1024.6923717044983,1025.0565032766685,1026.068074714207,1029.799382299784,1037.011060420814,1044.7822200833148,1050.8457579000672,1053.3538736267903,1055.388491948667,1057.4562348023626,1057.326142600204,1053.5081172468053,1050.4213150084954,1051.3690936761632,1059.2025288113598,1067.5487118796325,1075.7198604575558,1080.1707703360214,1085.7565996017177,1093.5430024958089,1097.4598705754374,1096.3595350160917,1092.262498240839,1088.705068437623,1086.4132373027692,1086.613607328392,1087.8624381802001,1091.9270739753754,1097.783859392855,1104.0026720840478,1110.4385704805877,1116.3047839441044,1123.3937149429275,1129.1551395174702,1129.180787517643,1128.7722665041358,1127.4056981436877,1126.2737705697295,1127.1447657332674,1130.6354297854948,1137.9766221187865,1144.4812409324581,1149.920242224816,1155.0372466436072,1161.5139464445754,1170.953883308622,1174.8618956350153,1172.508897231524,1163.371493864455,1160.9410041990286,1161.554785192521,1167.423778204325,1170.8068551210001,1172.3416285922324,1170.9953721435072,1171.947394521235,1177.400329295945,1183.7612080448998,1187.7865090811722,1189.2314520309985,1190.0571737087391,1191.7426866987905,1191.4268683181779,1194.5070764160184,1201.0532178866233,1216.8872665134375,1234.4751414990287,1255.7091937210887,1280.2650571985312,1306.2841322225531,1327.054637052595,1337.8755760529887,1342.908974257866,1349.3876026593925,1355.4806014744745,1363.8902088841094,1375.2437975357423,1388.4827659180428,1405.583490457154,1416.5328436390519,1430.7288908206606,1432.8446773085589,1430.8469332558045,1419.032321216436,1412.9440724421847,1410.88864562017,1416.950520282063,1419.6848769235849,1428.782716472987,1432.4752891064336,1437.0600265168887,1435.80861160925,1436.5559685451954,1436.840828976726,1433.1623992435239,1424.4252730387002,1417.3758739676387,1412.549726471745,1411.2205097740168,1411.6438666262454,1417.4569694790614
13271,5,Philadelphia,city,PA,PA,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Philadelphia County,1224.3506233358007,1233.5247855774637,1254.8327419842074,1262.3931457211816,1272.1510865904115,1272.7473844927954,1276.9397991229935,1273.632390264475,1270.4800868937111,1268.8071267775078,1264.0279443933173,1260.5647677916,1258.5892976093326,1273.0940224217932,1288.2087623066127,1303.4526285144846,1310.2721804197088,1314.7368240871083,1313.0145898307383,1312.4823743475083,1306.4093886155872,1299.735598247632,1301.0023307792853,1301.2575866818966,1311.27998046501,1316.5086173801492,1332.7733006558879,1341.4771736127375,1346.550217800601,1346.394087330566,1347.2770892378337,1347.0370632300549,1346.1054931980723,1343.0327358458862,1342.14233772299,1344.211240491273,1347.966601104885,1357.144420216441,1370.2661615450643,1381.389992150115,1389.808229799477,1392.26559245961,1390.5180003539056,1389.0941944628737,1388.125769839223,1392.472029767028,1396.5827830115088,1394.5350194046398,1398.6616966892668,1405.5449419877468,1421.6214190773183,1430.5247103257107,1436.6221942125724,1442.7548173463904,1447.3459631811552,1447.652140404411,1443.9802995716564,1443.8391862070346,1443.6348981715032,1447.1109085514463,1450.2672107335436,1458.5310672599348,1466.388008970833,1469.4188343763883,1468.8941248155243,1469.086680781386,1471.4488977306064,1467.916194109042,1462.4922402412117,1458.410350103062,1459.235509007232,1458.079194422209,1458.6435422916709,1462.6774790021707,1472.9385698978513,1488.94477283494,1507.7062977664436,1523.2951068121595,1536.142712624678,1547.4521059602748,1557.2239243827062,1565.2509204826088,1573.4571531818451,1585.7604419365769,1596.2193346537829,1604.1568528291114,1611.6382849176598,1624.5772571384891,1639.8123633428488,1652.8571997077925,1659.2985546256034,1660.605258530461,1663.072708860186,1657.8517674441628,1656.993776938344,1649.687561858941,1654.8424046161892,1659.5421480527164,1670.002441992999,1678.855851677208,1686.3777510957957,1688.9656032382027,1691.5093104956409,1694.3098383197687,1701.106917190607,1707.4766889475122,1709.8606955725118,1706.397096576778,1708.0422511460072,1712.8989589709577,1726.2917987574053
40326,6,Phoenix,city,AZ,AZ,"Phoenix-Mesa-Chandler, AZ",Maricopa County,866.3816971530053,878.0293856616238,885.2835950640256,898.0996166274213,901.5745562782975,909.7752632285861,908.3013204296627,911.1684890729294,914.8511289071979,917.9741269757827,920.9070683531255,919.9484938087935,926.5754627821707,931.4495350471061,941.2166624415422,950.4817918332527,962.027707674319,969.5315949018824,969.4157150487815,967.3414773255738,968.4270027903407,968.7874778858765,971.2722242018243,970.2853710919295,975.7479367733567,983.5119519146102,995.7514192332086,1009.1241051946394,1021.5950803666399,1029.3072074140262,1033.0113461805704,1033.5990728531424,1034.8480592173798,1039.791264606844,1041.0908611618631,1042.3640759428083,1043.3074282071698,1050.8365645334768,1063.155605214659,1075.5443061427752,1087.2391931932661,1096.1217323061567,1104.4854708330515,1110.2545139340814,1117.0394255092322,1122.5610409587919,1127.3473622729675,1133.2775255037338,1136.478371122602,1145.5795782705493,1153.6906770774685,1167.4429013137853,1178.7793329071021,1190.9555256897395,1199.2460359714275,1204.606597488471,1208.7031493090988,1211.134097847739,1217.705771609641,1226.1939205371407,1235.4392254419697,1243.1180624672693,1248.0645647407348,1250.8318463457285,1252.3377632344354,1256.6177090927865,1266.687192816497,1285.9509928352406,1298.523237147564,1309.212353301855,1312.5962986760335,1321.8762093043506,1331.6350340824683,1343.8275302805623,1364.497096728471,1396.4991337547856,1439.236783071929,1484.3097677345845,,1570.50516837079,1602.2786648730416,1622.4654591993183,1636.0323371578852,1646.1842143557894,1656.5383575613498,1667.0855309581548,1680.2028105466893,1692.933339723628,1703.3217506149028,1713.3116156499323,1721.6814503556825,1721.0544231946326,1715.6307858625075,1708.0129236620962,1703.8861734887912,1698.7908645801529,1689.5271589259753,1688.0871886486043,1696.4394783428197,1709.287066486747,1719.489347856057,1720.5802999004218,1724.222493517371,1720.15597214911,1721.4127232588453,1718.0746023043046,1709.0202253099778,1698.0608733530585,1692.4837657206276,1704.0692462040345,1714.8519645833385
18959,7,Las Vegas,city,NV,NV,"Las Vegas-Henderson-Paradise, NV",Clark County,984.0864177624359,988.8723655538017,993.9245771790393,1001.3641159214324,1008.0348102637377,1015.0568070537644,1020.0937513680627,1023.655982261097,1026.820600849263,1026.326501955569,1026.4418799796115,1025.911886904613,1028.3845902669968,1031.8053662904035,1036.3871155655675,1043.814660072667,1053.3908713200185,1065.2959894119238,1070.288615503132,1072.0008962564602,1071.1670706910538,1071.6481648448157,1071.6655849466754,1070.354461665764,1075.858747927189,1083.6020743297968,1094.6162103323304,1101.5658523190164,1108.2544235374555,1115.9819980227105,1123.6400987775446,1129.952624212782,1133.415558400308,1134.439478445435,1137.326485404075,1140.730266017781,1144.8470780761959,1152.5952261832783,1162.64623508,1177.3486287813037,1188.7377124416396,1197.1407841169148,1204.852586042689,1210.7389917811363,1216.6599603167344,1218.6359340194404,1220.799351582645,1222.6538475294476,1227.7926832971168,1233.3464174315911,1245.625407047137,1256.1027132541283,1267.8825358448314,1274.5654312046404,1281.9243109817708,1287.4756598021893,1289.3412265282211,1289.6263827867785,1288.7571213259566,1286.7757936869457,1287.4120212858186,1294.7266134698696,1304.0720991016829,1300.0916602483064,1294.9838126925372,1294.5792717959202,1311.5785944864926,1327.2863498772301,1345.3812139637394,1357.9742922232826,1367.7784668309546,1373.1542921353393,1382.9003609182384,1399.166270811357,1417.4687168176638,1441.8494342071303,1479.663959490598,1531.7828249506408,1583.0440866938306,1632.5332652412549,1667.8452339988917,1693.5107593178361,1697.0635141987193,1697.8930349014545,1702.4113776961574,1711.5117891155542,1721.9923511385252,1731.686393191299,1747.047033663945,1762.3548822575021,1777.8391657781492,1769.309291678541,1755.9647465056723,1727.445266128588,1710.2634434541408,1692.5116657227766,1690.2600928082966,1693.53560455459,1704.7052054138974,1713.3141855294932,1725.0621596307726,1732.943268125558,1739.540597796367,1738.82546574188,1733.874441403175,1735.6341041371822,1733.2104539090476,1730.3581104661139,1724.3285128526065,1721.6956321013276,1732.4186865557986
54296,8,San Diego,city,CA,CA,"San Diego-Chula Vista-Carlsbad, CA",San Diego County,1722.6446746478362,1733.8911378130083,1745.4168146982279,1747.666333618872,1761.0722119409568,1768.0138545224358,1787.0104258563724,1799.8973778184343,1810.32876710308,1815.3568288564916,1815.1315321839918,1820.347849019486,1826.553840732452,1834.430601806841,1846.6476873073552,1853.8939687196632,1868.2458867181886,1883.3752266171925,1897.8064294359758,1901.3984213285185,1900.9511963598334,1905.5241364622814,1910.721404460656,1912.2005224257798,1917.8445543642176,1934.1806066816853,1953.687154441775,1970.68976782472,1985.8208792641954,2000.7463454921829,2017.195669842445,2022.9957295082513,2025.1562686535872,2021.5777579412018,2024.0086553518008,2026.1064159547973,2035.8105846352069,2048.459866345437,2063.7624534974707,2075.938880681264,2091.1131684679654,2101.7816151411544,2114.9650509795347,2125.0967311100444,2132.7164556185917,2133.7373239953627,2124.309120755745,2129.6957272693294,2132.658519363964,2142.065719677508,2145.99269370663,2157.3675759087546,2169.0476733833407,2181.4937197228364,2193.7379241235208,2206.768444446274,2209.5550727695254,2208.0399685922107,2203.697675743546,2211.5897945633933,2216.5598635194306,2225.058853119079,2224.7820110321745,2213.6926396961876,2203.4123548852194,2196.7516385220865,2208.41030787682,2214.9789829568176,2225.434396982082,2237.3332128221955,2253.9478212132312,2262.5342899201023,2272.708954997613,2279.81976860297,2302.3343586984697,2335.033424855036,2375.9680757089036,2421.7594210420325,2471.9212537633616,2530.2378071763524,2587.2881506075773,2625.51331735906,2648.7697041493875,2662.6765282679767,2675.655867028565,2705.9554115051633,2741.063457493175,2791.338622055909,2834.604713231797,2880.3335571876396,2915.8168538521095,2947.446833965611,2956.431472549825,2950.491187204038,2925.0136090242268,2905.275687170921,2897.9242523062585,2906.565690304381,2931.430714160136,2959.4965050606033,2996.8810578379,3026.0380134200022,3050.7364914669465,3054.7717766603178,3050.2783488702835,3034.5502531822654,3014.5010567018944,2992.134024934317,2976.2982732647347,2981.2124532000644,2999.846604054704
38128,9,Dallas,city,TX,TX,"Dallas-Fort Worth-Arlington, TX",Dallas County,1092.4983668246164,1097.6361963371442,1107.928206638754,1116.5941039162237,1132.6731201530906,1143.2988180974519,1155.2910843283778,1156.2499097727173,1157.836642929054,1162.976527617801,1172.1998361539197,1178.2323670577075,1177.436173889255,1179.096592469259,1186.7077113809348,1198.1534942365809,1205.7603202018959,1212.0677971015923,1217.3681342003408,1219.5132501554112,1219.58130516198,1215.4328548112735,1216.7750263632095,1218.2394842282727,1233.0227137247653,1242.5321207539619,1262.5675482899558,1270.6342148519768,1284.4499028414964,1285.797461778634,1290.0396385496372,1288.0638037137262,1287.991111181237,1283.925861108426,1292.2516265727372,1295.1639049083306,1301.799752107652,1310.36768719644,1314.9670527805415,1318.416705056639,1317.245080971121,1329.737161623603,1336.0382098388113,1339.1248868547652,1330.5172015104683,1333.2081402555098,1329.9945481245559,1333.8304744626962,1337.3888409069957,1346.0970778873232,1357.435067267282,1365.2602550737577,1372.98955121932,1384.9607064143202,1389.6869244762795,1393.4643648108354,1391.5794623891775,1388.3802604698824,1381.2194440238602,1372.231728713105,1376.592507193126,1384.492091478399,1393.331336712934,1391.7651983954497,1388.1194312441546,1385.4763146935943,1386.3408344717268,1388.4760237906285,1392.17388031816,1394.2341853866503,1396.887969412777,1395.6745442522358,1392.731433566077,1394.3705499161129,1403.7295835740615,1426.9037601626837,1456.8205907271786,1489.757681279055,1522.6343018539214,1550.0986945073626,1574.5995371912322,1586.0246570635445,1595.769809752984,1602.8998253746795,1617.8278007927124,1635.802428821499,1645.4399888972428,1667.744391796278,1691.7967260521323,1732.8012454578752,1754.8511895902875,1762.802524029684,1756.891581565402,1737.4769094131425,1725.9155492893008,1712.2857981102634,1711.1100246625317,1709.5973527409776,1716.141658708992,1727.2756549879718,1737.801792879787,1745.2359747015066,1748.097894090997,1751.3711413288445,1751.1949581081028,1746.2121704270742,1734.1252369069691,1723.5136012640787,1716.8302166797043,1713.4180340776682,1709.8389969786576
